x
Slc22a18
Lck
Cd52
Slc7a7
Wfdc18
Icam4
S100a6
N4bp3
Ckb
Ube2c
Gstt1
Tspan33
Rin2
Cpa3
Esam
Adgre5
Apoe
Nqo1
Il7r
Hlf
Stat3
Ptrf
Hif3a
Ctse
Ndrg2
Arhgef40
Cd33
Aqp1
Mtfp1
Rasa4
Plekha8
Myl10
Mef2c
Mrvi1
Kit
Ampd3
Atp5g1
Epor
Mpl
Hfe
P3h4
Homer1
Dio2
Sertad1
Pou2f2
Mpo
Nav1
Phlda2
Podnl1
Gata2
Itga2
Gata3
Ncf1
Il17rb
Mpped2
Cd34
Pdcd1lg2
Cmah
Aldoc
Nek8
Dhx40
Abca5
Unc45b
E2f2
Ccl9
Smpd2
Grm1
Slc6a15
Srgn
Tbata
Elane
Meis1
Irak3
Hmmr
Mgat1
3010026O09Rik
Id2
Trim47
Fam101b
Myh10
Ttc8
9030617O03Rik
Evl
Traf3
Tnfaip2
Ippk
Ly86
Depdc1b
Emb
Ddx4
Thrb
Tdh
Lcp1
Mcpt8
Emc9
Ankrd33b
Ctnnd2
Rai14
Nadk2
Mtdh
Angpt1
Khdrbs3
Atad2
Fam118a
Dgat1
Naprt
Shank3
Mpv17l
Cpox
Muc13
St6gal1
App
Itsn1
Slc4a8
Fhl1
Mx2
Fam132a
Igf2r
Satb1
Treml1
Tmprss3
Sik1
Emilin2
Clip4
Lbh
Dync2li1
Stard4
Bin1
Tnf
Rab27b
C330018D20Rik
Slc27a6
Cd74
Csf1r
Fth1
Tm7sf2
Cep55
Dntt
Gfra1
Slc18a2
Pde8a
Shisa5
Pfkfb4
Fam195a
Nrp1
Cplx2
Smad7
Icos
Il1rl1
Il18r1
Il1r1
Map4k4
Dst
Pask
Rgs2
Steap3
Cd55
Slc45a3
Ppfia4
Rgl1
Atp1b1
Sell
Optn
Enkur
Plxdc2
Gfi1b
Galnt5
Acvr1
Upp2
Kynu
Traf1
Notch1
Fcna
Neb
Nckap1
Sord
Spint1
Hdc
Dusp2
Cd93
Napb
Cst3
Car1
Car2
Procr
Fam83d
Zmat3
Gnb4
Mecom
Il12a
Nbea
